,Date of Medal Won,Athlete,Medal,Event,Sport
1,July 30,Sanket Sargar,Silver,Men's 55kg,Weightlifting
2,July 30,Gururaja Poojary,Bronze,Men's 61kg,Weightlifting
3,July 30,Mirabai Chanbu,Gold,Women's 49kg,Weightlifting
4,July 30,Bindyarani Devi,Silver,Women's 55kg,Weightlifting
5,July 31,Jeremy Lalrinnunga,Gold,Men's 67kg,Weightlifting
6,July 31,Achinta Sheuli,Gold,Men’s 73kg,Weightlifting
7,Aug 1,Sushila Devi Likmabam,Silver,Women's 48kg,Judo
8,Aug 1,Vijay Kumar Yadav,Bronze,Men's 60kg,Judo
9,Aug 1,Harjinder Kaur,Bronze,Women's 71kg,Weightlifting
10,Aug 2,Indian women's team,Gold,Women's fours,Lawn bowls
11,Aug 2,Vikas Thakur,Silver,Men's 96kg,Weightlifting
12,Aug 2,Indian men's team,Gold,Men's team,Table Tennis
13,Aug 2,Indian mixed team,Silver,Mixed team,Badminton
14,Aug 3,Lovepreet Singh,Bronze,Men's 109kg,Weightlifting
15,Aug 3,Saurav Ghosal,Bronze,Men's singles,Squash
16,Aug 3,Tulika Maan,Silver,Women's +78kg,Judo
17,Aug 3,Gurdeep Singh,Bronze,Men's +109kg,Weightlifting
18,Aug 3,Tejaswin Shankar,Bronze,Men's high jump,Athletics
19,Aug 4,Murali Sreeshankar,Silver,Men's long jump,Athletics
20,Aug 4,Sudhir,Gold,Men's heavyweight,Para Powerlifting
21,Aug 5,Anshu Malik,Silver,Women's 57kg freestyle,Wrestling
22,Aug 5,Bajrang Punia,Gold,Men's 65kg freestyle,Wrestling
23,Aug 5,Sakshi Malik,Gold,Women's 62kg freestyle,Wrestling
24,Aug 5,Deepak Punia,Gold,Men’s 86kg freestyle,Wrestling
25,Aug 5,Divya Kakran,Bronze,Women’s 68kg freestyle,Wrestling
26,Aug 5,Mohit Grewal,Bronze,Men’s 125kg freestyle,Wrestling
27,Aug 6,Priyanka Goswami,Silver,Women's 10000m race walk,Athletics
28,Aug 6,Avinash Sable,Silver,Men's 3000m steeplechase,Athletics
29,Aug 6,Indian men's team,Silver,Men's fours,Lawn Bowls
30,Aug 6,Jaismine Lamboria,Bronze,Women's 60kg lightweight,Boxing
31,Aug 6,Pooja Gehlot,Bronze,Women's 50kg freestyle,Wrestling
32,Aug 6,Ravi Kumar Dahiya,Gold,Men's 57kg freestyle,Wrestling
33,Aug 6,Vinesh Phogat,Gold,Women's 53kg freestyle,Wrestling
34,Aug 6,Naveen,Gold,Men's 74kg freestyle,Wrestling
35,Aug 6,Pooja Sihag,Bronze,Women’s 76kg freestyle,Wrestling
36,Aug 6,Mohammad Hussamuddin,Bronze,Men's 57kg featherweight,Boxing
37,Aug 6,Deepak Nehra,Bronze,Men's 97kg freestyle,Wrestling
38,Aug 6,Rohit Tokas,Bronze,Men's 67kg welterweight,Boxing
39,Aug 6,Sonalben Patel,Bronze,Women's singles Classes 3-5,Para Table Tennis
40,Aug 6,Bhavina Patel,Bronze,Women's singles classes 3-5,Para Table Tennis
41,Aug 7,Women's hockey team,Bronze,Women's hockey,Hockey
42,Aug 7,Nitu Ghangas,Gold,Women's 48kg minimumweight,Boxing
43,Aug 7,Amit Panghal,Gold,Men's 51kg flyweight,Boxing
44,Aug 7,Eldhose Paul,Gold,Men’s triple jump,Athletics
45,Aug 7,Abdulla Aboobacker,Silver,Men’s triple jump,Athletics
46,Aug 7,Sandeep Kumar,Bronze,Men's 10000m race walk,Athletics
47,Aug 7,Annu Rani,Bronze,Women's javelin throw,Athletics
48,Aug 7,Nikhat Zareen,Gold,Women's 50kg light flyweight,Boxing
49,Aug 7,Sharath Kamal / G Sathiyan,Silver,Men's doubles,Table Tennis
50,Aug 7,Dipika Pallikal / Saurav Ghosal,Bronze,Mixed doubles,Squash
51,Aug 7,Kidambi Srikanth,Bronze,Men's singles,Badminton
52,Aug 7,Women's cricket team,Silver,Women's T20,Cricket
53,Aug 7,Sharath Kamal / Sreeja Akula,Gold,Mixed doubles,Table Tennis
54,Aug 7,Treesa Jolly / Gayatri Gopichand,Bronze,Women's doubles,Badminton
55,Aug 7,Sagar Ahlawat,Silver,Men’s 92+kg super heavyweight,Boxing
56,Aug 8,PV Sindhu,Gold,Women's singles,Badminton
57,Aug 8,Lakshya Sen,Gold,Men's singles,Badminton
58,Aug 8,Sathiyan Gnanasekaran,Bronze,Men's singles,Table Tennis
59,Aug 8,Satwiksairaj Rankireddy / Chirag Shetty,Gold,Men's doubles,Badminton
60,Aug 8,Sharath Kamal,Gold,Men's singles,Table Tennis
61,Aug 8,Men's hockey team,Silver,Men's hockey,Hockey
